pattern,num_seqlets,match0,motif0,qval0,match1,motif1,qval1,match2,motif2,qval2
pos_patterns.pattern_0,2002,MA0467.1,Crx,0.000650058,MA0712.1,OTX2,0.00217613,MA1480.2,DPRX,0.00217613
pos_patterns.pattern_1,1808,MA0790.1,POU4F1,0.218379,MA0791.1,POU4F3,0.218379,MA0683.1,POU4F2,0.291013
pos_patterns.pattern_2,1389,MA0071.1,RORA,0.0077821,MA1150.2,RORB,0.0077821,MA1150.1,RORB,0.010374
pos_patterns.pattern_3,1204,MA1930.2,CTCF,2.75001e-14,MA1930.1,CTCF,2.75001e-14,MA0139.2,CTCF,5.16719e-14
pos_patterns.pattern_4,1178,MA1969.2,THRA,0.000259106,MA1576.2,THRB,0.000259106,MA1576.1,THRB,0.000259106
pos_patterns.pattern_5,952,MA0790.1,POU4F1,0.00361711,MA0791.1,POU4F3,0.00361711,MA0790.2,POU4F1,0.00617646
pos_patterns.pattern_6,780,MA0007.2,AR,5.75775e-07,MA0113.2,NR3C1,0.000127179,MA2327.1,PGR,0.000847097
pos_patterns.pattern_7,510,MA0119.1,NFIC::TLX1,0.0350977,MA1528.2,NFIX,0.0379867,MA1528.1,NFIX,0.0379867
pos_patterns.pattern_8,417,MA0715.1,PROP1,0.0010648,MA1463.1,ARGFX,0.0010648,MA0713.1,PHOX2A,0.00215373
pos_patterns.pattern_9,408,MA0462.3,BATF::JUN,0.00345928,MA0835.3,BATF3,0.00345928,MA1988.2,Atf3,0.00345928
pos_patterns.pattern_10,365,MA0600.1,RFX2,4.98112e-07,MA0600.3,RFX2,4.98112e-07,MA0509.1,Rfx1,4.98112e-07
pos_patterns.pattern_11,330,MA0139.2,CTCF,0.000135299,MA1102.1,CTCFL,0.00284376,MA0139.1,CTCF,0.00324722
pos_patterns.pattern_12,308,MA0790.1,POU4F1,0.342406,MA0135.2,Lhx3,0.342406,MA1124.1,ZNF24,0.342406
pos_patterns.pattern_13,283,MA1100.1,ASCL1,0.000108486,MA1993.1,Neurod2,0.000350553,MA1997.1,Olig2,0.00097437
pos_patterns.pattern_14,271,MA0025.1,NFIL3,0.0920125,MA0025.3,NFIL3,0.0934839,MA0843.2,TEF,0.0934839
pos_patterns.pattern_15,236,MA2681.1,KLF8,0.000185294,MA0079.3,SP1,0.000185294,MA1513.1,KLF15,0.00254465
pos_patterns.pattern_16,211,MA0799.3,RFX4,1.40222e-05,MA0799.2,RFX4,2.6046e-05,MA1724.2,Rfx6,0.000104834
pos_patterns.pattern_17,210,MA1118.1,SIX1,6.72304e-05,MA1119.1,SIX2,0.000347509,MA2001.1,Six4,0.00062626
pos_patterns.pattern_18,180,MA0052.3,MEF2A,8.4031e-10,MA0052.1,MEF2A,6.20291e-07,MA0052.2,MEF2A,5.3114e-06
pos_patterns.pattern_19,166,MA1607.1,Foxl2,0.00283548,MA0852.1,Foxk1,0.0097378,MA0846.2,FOXC2,0.0097378
pos_patterns.pattern_20,137,MA0517.2,STAT1::STAT2,0.000182371,MA0517.1,STAT1::STAT2,0.000182371,MA0137.1,STAT1,0.000487612
pos_patterns.pattern_21,118,MA0502.1,NFYB,0.000738152,MA1644.2,NFYC,0.000738152,MA0060.2,NFYA,0.000738152
pos_patterns.pattern_22,61,MA0144.1,Stat3,0.00355794,MA0463.1,Bcl6,0.00355794,MA0137.4,STAT1,0.00355794
pos_patterns.pattern_23,48,MA1487.3,FOXE1,0.0984663,MA2592.1,MKX,0.0984663,MA0148.4,FOXA1,0.0984663
pos_patterns.pattern_24,44,MA1480.2,DPRX,0.251645,MA0714.2,PITX3,0.251645,MA0682.3,PITX1,0.251645
pos_patterns.pattern_25,40,MA0834.2,ATF7,0.000171871,MA0834.1,ATF7,0.000200516,MA1475.2,CREB3L4,0.000411186
pos_patterns.pattern_26,30,MA2546.1,ZNF131,0.00650781,MA0506.1,NRF1,0.0245652,MA0506.3,Nrf1,0.0245652
pos_patterns.pattern_27,22,MA1132.2,JUN::JUNB,0.262026,MA0604.1,Atf1,0.262026,MA1583.2,ZFP57,0.262026
neg_patterns.pattern_0,85,,,,,,,,,
neg_patterns.pattern_1,85,MA0750.4,ZBTB7A,0.00430861,MA0114.3,Hnf4a,0.510668,MA0855.1,RXRB,0.510668
neg_patterns.pattern_2,50,MA1148.2,PPARA::RXRA,0.0415817,MA1148.1,PPARA::RXRA,0.0415817,MA0489.3,Jun,0.0415817
neg_patterns.pattern_3,32,MA0108.3,TBP,0.0139389,MA0679.2,ONECUT1,0.0565152,MA1974.1,ZNF211,0.17644
neg_patterns.pattern_4,20,MA0738.1,HIC2,0.229202,MA0695.2,ZBTB7C,0.229202,MA1986.1,ZNF692,0.229202
