pattern,num_seqlets,match0,motif0,qval0,match1,motif1,qval1,match2,motif2,qval2
neg_patterns.pattern_11,482,MA1118.1,SIX1,1.72792e-07,MA2001.1,Six4,1.72792e-07,MA1119.1,SIX2,1.72792e-07
neg_patterns.pattern_12,432,MA2521.1,FIZ1,0.0398277,MA0693.2,VDR,0.128771,MA0693.4,Vdr,0.167736
neg_patterns.pattern_13,404,MA1993.1,Neurod2,6.49564e-05,MA1997.1,Olig2,0.000304332,MA1100.1,ASCL1,0.00106752
neg_patterns.pattern_14,398,MA1930.2,CTCF,1.0,MA1930.1,CTCF,1.0,MA0139.1,CTCF,1.0
neg_patterns.pattern_15,343,MA0682.3,PITX1,0.00193717,MA0714.2,PITX3,0.00193717,MA0682.1,Pitx1,0.00232461
neg_patterns.pattern_16,331,MA0516.1,SP2,8.97255e-06,MA0079.3,SP1,0.000141843,MA0162.4,EGR1,0.000161095
neg_patterns.pattern_17,297,MA0592.4,ESRRA,0.00705234,MA0505.1,Nr5a2,0.00705234,MA0141.1,Esrrb,0.00705234
neg_patterns.pattern_18,284,MA1528.1,NFIX,0.0050668,MA1527.2,NFIC,0.0050668,MA1527.1,NFIC,0.0050668
neg_patterns.pattern_19,265,MA1978.1,ZNF354A,0.201536,MA1978.2,ZNF354A,0.209202,MA0845.1,FOXB1,0.360303
neg_patterns.pattern_20,256,MA1929.1,CTCF,3.22965e-09,MA0139.2,CTCF,1.72447e-08,MA0139.1,CTCF,3.11759e-08
neg_patterns.pattern_21,250,MA0462.3,BATF::JUN,0.00780138,MA1634.2,BATF,0.00780138,MA1928.2,BNC2,0.00780138
neg_patterns.pattern_22,235,MA0007.2,AR,0.000218807,MA0113.2,NR3C1,0.000280314,MA0727.2,NR3C2,0.00538
neg_patterns.pattern_23,227,MA0108.3,TBP,1.0,,,,,,
neg_patterns.pattern_24,202,MA0845.1,FOXB1,0.671487,MA0032.2,FOXC1,0.736697,MA0033.1,FOXL1,0.811127
neg_patterns.pattern_25,191,MA0610.1,DMRT3,1.0,MA0148.4,FOXA1,1.0,MA0757.1,ONECUT3,1.0
neg_patterns.pattern_26,182,MA1110.2,Nr1H4,0.0790663,MA0505.2,Nr5A2,0.125836,MA1540.2,NR5A1,0.21634
neg_patterns.pattern_27,168,MA0600.1,RFX2,3.212e-07,MA0509.1,Rfx1,3.23688e-07,MA0600.3,RFX2,3.23688e-07
neg_patterns.pattern_28,167,MA1989.1,Bcl11B,0.144349,MA0679.2,ONECUT1,0.484931,MA0486.1,HSF1,0.484931
neg_patterns.pattern_29,164,MA0041.1,Foxd3,0.252313,MA0851.1,Foxj3,0.252313,MA1606.1,Foxf1,0.252313
neg_patterns.pattern_30,159,MA0258.2,ESR2,0.00137359,MA0112.2,ESR1,0.00137359,MA0258.1,ESR2,0.00137359
neg_patterns.pattern_31,134,MA1596.1,ZNF460,0.181055,MA2519.1,ZNF606,0.181055,MA1623.1,Stat2,0.697755
neg_patterns.pattern_32,116,MA0677.2,Nr2f6,0.00138679,MA1537.2,NR2F1,0.00138679,MA1574.2,THRB,0.00138679
neg_patterns.pattern_33,114,MA1928.2,BNC2,0.0691758,MA0462.3,BATF::JUN,0.0691758,MA1634.2,BATF,0.0691758
neg_patterns.pattern_34,112,MA0750.4,ZBTB7A,0.110624,MA2603.1,ZFTA,0.306286,MA0116.1,Znf423,0.337098
neg_patterns.pattern_35,107,MA0098.2,Ets1,0.360016,MA0105.2,NFKB1,0.360016,MA1548.2,PLAGL2,0.360016
neg_patterns.pattern_36,73,MA0753.2,ZNF740,0.137825,MA0039.5,KLF4,0.173155,MA0073.1,RREB1,0.173155
neg_patterns.pattern_37,69,MA1974.1,ZNF211,0.22336,MA2544.1,ZKSCAN4,0.513556,MA0033.1,FOXL1,0.513556
neg_patterns.pattern_38,47,MA0033.1,FOXL1,1.0,MA2544.1,ZKSCAN4,1.0,MA2537.1,SALL3,1.0
neg_patterns.pattern_39,40,MA0496.4,MAFK,0.451744,MA2587.1,ZNF672,0.451744,MA1945.2,ETV5::FIGLA,0.451744
neg_patterns.pattern_40,36,MA0528.2,ZNF263,0.0139932,MA2587.1,ZNF672,0.0952264,MA1653.1,ZNF148,0.0952264
neg_patterns.pattern_41,30,MA0604.1,Atf1,0.252901,MA1143.2,FOSL1::JUND,0.252901,MA1143.1,FOSL1::JUND,0.252901
neg_patterns.pattern_42,27,MA0505.1,Nr5a2,0.00285701,MA1540.2,NR5A1,0.0185331,MA0505.2,Nr5A2,0.0382533
neg_patterns.pattern_43,25,MA1974.2,ZNF211,1.0,MA0043.3,HLF,1.0,,,
neg_patterns.pattern_44,24,MA0517.2,STAT1::STAT2,0.000540349,MA0517.1,STAT1::STAT2,0.000606715,MA0137.1,STAT1,0.000606715
