pattern,num_seqlets,match0,motif0,qval0,match1,motif1,qval1,match2,motif2,qval2
neg_patterns.pattern_19,128,MA0679.2,ONECUT1,0.00106291,MA1125.1,ZNF384,0.00163389,MA2593.1,ZNF362,0.00489899
neg_patterns.pattern_20,127,MA0113.2,NR3C1,0.0174834,MA0007.2,AR,0.0797326,MA0258.2,ESR2,0.0797326
neg_patterns.pattern_21,104,MA1639.2,MEIS1,0.0508729,MA0594.1,Hoxa9,0.0508729,MA1640.1,MEIS2,0.0508729
neg_patterns.pattern_22,100,MA1639.2,MEIS1,0.059994,MA0070.2,PBX1,0.195638,MA1113.3,PBX2,0.195638
neg_patterns.pattern_23,88,MA2335.1,ZNF558,0.657833,MA0845.1,FOXB1,0.657833,MA1978.1,ZNF354A,0.657833
neg_patterns.pattern_24,83,MA0025.2,NFIL3,2.6869e-05,MA0043.3,HLF,5.17811e-05,MA0025.3,NFIL3,0.000149088
neg_patterns.pattern_25,79,MA0697.2,Zic3,0.0269608,MA0668.3,Neurod2,0.0269608,MA1109.2,NEUROD1,0.0269608
neg_patterns.pattern_26,73,MA0003.1,TFAP2A,0.536346,MA0478.1,FOSL2,0.629594,MA0490.1,JUNB,0.629594
neg_patterns.pattern_27,68,MA0505.1,Nr5a2,0.00186441,MA0505.2,Nr5A2,0.00304367,MA1540.3,Nr5a1,0.00304367
neg_patterns.pattern_28,64,MA0648.2,GSC,0.0290666,MA0682.3,PITX1,0.0290666,MA0891.2,GSC2,0.0290666
neg_patterns.pattern_29,59,MA1124.1,ZNF24,0.862399,MA0874.1,Arx,1.0,MA0790.1,POU4F1,1.0
neg_patterns.pattern_30,49,MA0007.3,Ar,0.0163135,MA0007.4,Ar,0.0163135,MA0066.2,PPARG,0.0163135
neg_patterns.pattern_31,47,MA0442.1,SOX10,0.478875,MA1125.2,ZNF384,0.478875,MA0679.2,ONECUT1,0.478875
neg_patterns.pattern_32,45,MA0798.1,RFX3,0.0106519,MA0509.1,Rfx1,0.0106519,MA0600.3,RFX2,0.0106519
neg_patterns.pattern_33,30,MA1643.2,NFIB,0.00062661,MA1527.2,NFIC,0.00062661,MA1643.1,NFIB,0.00062661
