pattern,num_seqlets,match0,motif0,qval0,match1,motif1,qval1,match2,motif2,qval2
neg_patterns.pattern_29,132,MA0510.3,RFX5,0.0349422,MA0600.3,RFX2,0.0349422,MA0798.1,RFX3,0.0349422
neg_patterns.pattern_30,127,MA0682.3,PITX1,0.0329408,MA0714.2,PITX3,0.0329408,MA0648.2,GSC,0.0419245
neg_patterns.pattern_31,121,MA0007.2,AR,9.5162e-05,MA0113.2,NR3C1,0.000145221,MA0727.2,NR3C2,0.00229186
neg_patterns.pattern_32,119,MA1119.1,SIX2,0.0185145,MA1118.2,SIX1,0.0615993,MA1119.2,SIX2,0.0942513
neg_patterns.pattern_33,111,MA2593.1,ZNF362,0.00133029,MA1125.2,ZNF384,0.00926988,MA1125.1,ZNF384,0.0148524
neg_patterns.pattern_34,92,MA0715.1,PROP1,0.0219579,MA0713.1,PHOX2A,0.0262123,MA0681.1,Phox2b,0.0262123
neg_patterns.pattern_35,89,MA0504.2,NR2C2,0.011174,MA0504.1,NR2C2,0.011174,MA0855.1,RXRB,0.011174
neg_patterns.pattern_36,88,MA1978.1,ZNF354A,1.0,MA0845.1,FOXB1,1.0,MA2537.1,SALL3,1.0
neg_patterns.pattern_37,80,MA1644.2,NFYC,0.0495323,MA1644.1,NFYC,0.0495323,MA0060.3,NFYA,0.0507518
neg_patterns.pattern_38,61,MA0050.2,IRF1,0.00449155,MA0050.3,Irf1,0.00449155,MA0050.4,Irf1,0.00449155
neg_patterns.pattern_39,59,MA2596.1,ZXDA,0.464593,MA2121.1,ZNF213,0.464593,MA2577.1,ZXDC,0.464593
neg_patterns.pattern_40,44,MA0113.2,NR3C1,0.0116796,MA0007.2,AR,0.0594018,MA0869.3,Sox11,0.0594018
neg_patterns.pattern_41,42,MA1596.1,ZNF460,0.430249,MA2519.1,ZNF606,0.465699,MA1646.1,OSR2,0.465699
neg_patterns.pattern_42,36,MA1494.1,HNF4A,0.533767,MA0505.1,Nr5a2,0.533767,MA2566.1,ZNF395,0.698774
neg_patterns.pattern_43,36,MA0476.2,FOS,0.00118824,MA0489.3,Jun,0.00118824,MA0491.1,JUND,0.00118824
neg_patterns.pattern_44,33,MA1974.2,ZNF211,0.328999,MA1974.1,ZNF211,0.328999,MA0669.1,NEUROG2,0.441702
neg_patterns.pattern_45,28,MA0639.2,DBP,0.00020951,MA0639.1,DBP,0.00020951,MA0843.2,TEF,0.00020951
neg_patterns.pattern_46,25,MA0083.1,SRF,1.0,MA0698.2,ZBTB18,1.0,MA0052.2,MEF2A,1.0
neg_patterns.pattern_47,24,MA1121.1,TEAD2,1.0,MA1981.2,ZNF530,1.0,MA1981.1,ZNF530,1.0
