pattern,num_seqlets,match0,motif0,qval0,match1,motif1,qval1,match2,motif2,qval2
pos_patterns.pattern_0,2384,MA0462.3,BATF::JUN,0.00137292,MA0835.3,BATF3,0.00137292,MA1634.2,BATF,0.00137292
pos_patterns.pattern_1,1231,MA1929.2,CTCF,3.78063e-13,MA1929.1,CTCF,3.78063e-13,MA0139.2,CTCF,5.79679e-13
pos_patterns.pattern_2,1026,MA0119.1,NFIC::TLX1,0.00218324,MA1528.2,NFIX,0.00218324,MA1643.2,NFIB,0.00243105
pos_patterns.pattern_3,1012,MA1100.1,ASCL1,0.00795002,MA0522.1,Tcf3,0.00795002,MA0521.3,Tcf12,0.00795002
pos_patterns.pattern_4,952,MA2681.1,KLF8,3.64441e-06,MA0079.3,SP1,0.000261429,MA1513.1,KLF15,0.00227934
pos_patterns.pattern_5,478,MA0600.1,RFX2,1.26345e-11,MA0509.1,Rfx1,5.46074e-09,MA0798.1,RFX3,6.02037e-09
pos_patterns.pattern_6,476,MA0060.1,NFYA,0.000336712,MA0502.1,NFYB,0.00280516,MA1644.2,NFYC,0.00600718
pos_patterns.pattern_7,301,MA1119.1,SIX2,0.000880493,MA1118.1,SIX1,0.000935704,MA2001.1,Six4,0.00160961
pos_patterns.pattern_8,266,MA0506.1,NRF1,0.0121345,MA0506.3,Nrf1,0.0121345,MA0506.2,Nrf1,0.0141569
pos_patterns.pattern_9,260,MA0692.1,TFEB,0.000123087,MA0831.1,TFE3,0.000123087,MA0526.5,USF2,0.00015058
pos_patterns.pattern_10,248,MA1100.2,ASCL1,0.0373027,MA0522.1,Tcf3,0.0373027,MA1100.1,ASCL1,0.0387531
pos_patterns.pattern_11,246,MA0604.1,Atf1,0.0179249,MA0018.1,CREB1,0.0179249,MA0605.1,Atf3,0.0179249
pos_patterns.pattern_12,238,MA0799.3,RFX4,1.68173e-09,MA0799.2,RFX4,2.80289e-09,MA1724.2,Rfx6,0.00559467
pos_patterns.pattern_13,189,MA0639.1,DBP,0.00110514,MA0843.1,TEF,0.00110514,MA0843.2,TEF,0.00192813
pos_patterns.pattern_14,182,MA2546.1,ZNF131,0.000307328,MA2583.1,ZNF142,0.0029429,MA0506.2,Nrf1,0.0391051
pos_patterns.pattern_15,39,MA2536.1,PRDM13,0.0234198,MA0139.2,CTCF,0.0234198,MA1100.1,ASCL1,0.0234198
pos_patterns.pattern_16,28,MA0521.3,Tcf12,0.0078204,MA0633.3,Twist2,0.0078204,MA1635.2,BHLHE22,0.0078204
pos_patterns.pattern_17,23,MA0079.3,SP1,3.0425e-06,MA0516.1,SP2,1.6591e-05,MA2681.1,KLF8,2.7715e-05
pos_patterns.pattern_18,22,MA0478.1,FOSL2,0.00173365,MA0490.1,JUNB,0.00215816,MA0478.2,FOSL2,0.00234745
neg_patterns.pattern_0,304,MA1125.1,ZNF384,0.365534,MA0679.2,ONECUT1,0.365534,MA2593.1,ZNF362,0.425722
neg_patterns.pattern_1,57,MA2682.1,MYT1L,0.177276,MA2506.1,MYT1,1.0,MA1603.2,Dmrt1,1.0
neg_patterns.pattern_2,44,MA2536.1,PRDM13,0.098086,MA0103.3,ZEB1,0.098086,MA0103.4,ZEB1,0.098086
neg_patterns.pattern_3,30,MA0098.2,Ets1,0.633866,MA1981.2,ZNF530,0.633866,MA1508.1,IKZF1,0.633866
neg_patterns.pattern_4,26,MA1647.3,Prdm4,1.0,MA1995.1,Npas4,1.0,MA0868.1,SOX8,1.0
neg_patterns.pattern_5,24,MA0689.1,TBX20,1.0,MA0014.3,PAX5,1.0,,,
neg_patterns.pattern_6,21,MA0798.3,RFX3,0.708261,MA0509.3,RFX1,0.708261,MA0506.1,NRF1,0.708261
