pattern,num_seqlets,match0,motif0,qval0,match1,motif1,qval1,match2,motif2,qval2
pos_patterns.pattern_0,4846,MA0790.1,POU4F1,0.14275,MA0791.1,POU4F3,0.14275,MA0683.1,POU4F2,0.176192
pos_patterns.pattern_1,4220,MA0835.3,BATF3,0.000317963,MA1988.2,Atf3,0.000317963,MA2486.1,Fosb,0.000317963
pos_patterns.pattern_2,3272,MA0790.1,POU4F1,0.00507017,MA0791.1,POU4F3,0.00507017,MA0791.2,POU4F3,0.00507017
pos_patterns.pattern_3,3096,MA1467.2,Atoh1,4.68925e-05,MA1642.1,NEUROG2,0.000154949,MA0668.2,Neurod2,0.000217663
pos_patterns.pattern_4,2708,MA0119.1,NFIC::TLX1,0.020852,MA1528.2,NFIX,0.020852,MA1528.1,NFIX,0.023387
pos_patterns.pattern_5,2552,MA0703.3,LMX1B,0.00849355,MA0621.2,mix-a,0.00849355,MA0702.3,LMX1A,0.00849355
pos_patterns.pattern_6,1926,MA1930.2,CTCF,2.09039e-15,MA1930.1,CTCF,2.09039e-15,MA0139.2,CTCF,3.07572e-15
pos_patterns.pattern_7,1425,MA0714.2,PITX3,0.00820993,MA0712.1,OTX2,0.0109465,MA0714.1,PITX3,0.0109465
pos_patterns.pattern_8,1119,MA0079.3,SP1,2.72361e-05,MA2681.1,KLF8,2.72361e-05,MA1513.1,KLF15,0.00221571
pos_patterns.pattern_9,1022,MA0790.1,POU4F1,0.962111,MA1124.1,ZNF24,0.962111,MA0135.2,Lhx3,0.962111
pos_patterns.pattern_10,983,MA0600.1,RFX2,4.91796e-06,MA0509.1,Rfx1,4.91796e-06,MA0600.3,RFX2,4.91796e-06
pos_patterns.pattern_11,677,MA0258.2,ESR2,3.46887e-08,MA0112.4,ESR1,3.46887e-08,MA0112.3,ESR1,6.93774e-08
pos_patterns.pattern_12,664,MA0161.3,NFIC,0.154573,MA1528.1,NFIX,0.159054,MA1643.2,NFIB,0.159054
pos_patterns.pattern_13,656,MA1143.2,FOSL1::JUND,0.00032054,MA1143.1,FOSL1::JUND,0.00032054,MA0018.1,CREB1,0.00032054
pos_patterns.pattern_14,444,MA0488.2,JUN,0.000112517,MA0488.1,JUN,0.000225034,MA1632.2,ATF2,0.000425796
pos_patterns.pattern_15,402,MA1112.3,NR4A1,0.000284028,MA0160.3,NR4A2,0.000855199,MA1112.1,NR4A1,0.000855199
pos_patterns.pattern_16,373,MA0799.3,RFX4,5.43084e-06,MA0799.2,RFX4,9.0514e-06,MA1724.2,Rfx6,0.000295448
pos_patterns.pattern_17,357,MA1644.2,NFYC,0.000256142,MA0060.4,NFYA,0.000256142,MA0060.3,NFYA,0.000320177
pos_patterns.pattern_18,305,MA0007.2,AR,1.66419e-05,MA0113.2,NR3C1,4.94816e-05,MA0727.2,NR3C2,0.00119564
pos_patterns.pattern_19,289,MA0052.5,MEF2A,4.57199e-05,MA0052.4,MEF2A,0.00013716,MA0052.2,MEF2A,0.000160715
pos_patterns.pattern_20,218,MA0040.1,Foxq1,0.288901,MA2592.1,MKX,0.288901,MA0040.2,Foxq1,0.288901
pos_patterns.pattern_21,137,MA0506.1,NRF1,0.0238621,MA2546.1,ZNF131,0.0238621,MA0506.3,Nrf1,0.0238621
pos_patterns.pattern_22,91,MA0526.5,USF2,1.50141e-05,MA0831.3,TFE3,1.50141e-05,MA0526.4,USF2,1.66823e-05
pos_patterns.pattern_23,90,MA0627.1,Pou2f3,0.0708909,MA0790.1,POU4F1,0.0708909,MA0786.1,POU3F1,0.0708909
pos_patterns.pattern_24,80,MA2600.1,TPRX1,0.500575,MA0151.1,Arid3a,0.500575,MA0680.2,Pax7,0.500575
pos_patterns.pattern_25,46,MA0507.1,POU2F2,0.92515,MA0601.1,Arid3b,1.0,MA0601.2,Arid3b,1.0
pos_patterns.pattern_26,43,MA0790.2,POU4F1,0.291293,MA0791.2,POU4F3,0.291293,MA0785.1,POU2F1,0.392754
pos_patterns.pattern_27,26,MA1527.2,NFIC,0.00109629,MA1528.2,NFIX,0.00592547,MA1527.1,NFIC,0.0105318
neg_patterns.pattern_0,227,,,,,,,,,
neg_patterns.pattern_1,88,MA0033.1,FOXL1,0.548841,MA0032.2,FOXC1,0.79072,MA1978.1,ZNF354A,0.79072
neg_patterns.pattern_2,67,MA1974.1,ZNF211,0.38235,MA2544.1,ZKSCAN4,0.848044,MA0033.1,FOXL1,0.848044
neg_patterns.pattern_3,65,MA0495.3,MAFF,0.936423,MA0790.1,POU4F1,1.0,MA0683.2,POU4F2,1.0
neg_patterns.pattern_4,58,MA0679.2,ONECUT1,0.0101081,MA0681.2,PHOX2B,0.0484534,MA0757.1,ONECUT3,0.188
neg_patterns.pattern_5,34,MA0490.1,JUNB,0.174082,MA0478.1,FOSL2,0.333889,MA0610.2,DMRT3,0.333889
