pattern,num_seqlets,match0,motif0,qval0,match1,motif1,qval1,match2,motif2,qval2
pos_patterns.pattern_0,4540,MA0790.1,POU4F1,0.209098,MA0791.1,POU4F3,0.209098,MA0683.1,POU4F2,0.209098
pos_patterns.pattern_1,3664,MA0668.3,Neurod2,2.91404e-05,MA1109.2,NEUROD1,2.91404e-05,MA1642.1,NEUROG2,2.91404e-05
pos_patterns.pattern_2,2923,MA0462.3,BATF::JUN,0.00254515,MA0835.3,BATF3,0.00254515,MA1634.2,BATF,0.00254515
pos_patterns.pattern_3,2243,MA0790.1,POU4F1,0.00570169,MA0791.2,POU4F3,0.00570169,MA0790.2,POU4F1,0.00570169
pos_patterns.pattern_4,2140,MA0162.2,EGR1,0.000746706,MA0472.1,Egr2,0.000746706,MA0516.2,SP2,0.000746706
pos_patterns.pattern_5,1869,MA0600.1,RFX2,1.53539e-07,MA0509.1,Rfx1,6.2301e-07,MA0798.1,RFX3,1.37496e-06
pos_patterns.pattern_6,1741,MA0139.2,CTCF,1.39417e-15,MA0139.1,CTCF,2.09126e-15,MA1929.1,CTCF,4.87961e-15
pos_patterns.pattern_7,1542,MA0102.3,CEBPA,1.50315e-05,MA0466.1,CEBPB,3.97636e-05,MA0025.2,NFIL3,3.97636e-05
pos_patterns.pattern_8,1355,MA0007.2,AR,2.43603e-05,MA2327.1,PGR,0.00036835,MA0113.2,NR3C1,0.000400215
pos_patterns.pattern_9,1061,MA1969.2,THRA,4.32662e-05,MA1969.1,THRA,6.23331e-05,MA1576.2,THRB,9.79921e-05
pos_patterns.pattern_10,1024,MA1102.2,CTCFL,0.643537,MA2121.1,ZNF213,0.742903,MA2545.1,ZNF57,1.0
pos_patterns.pattern_11,917,MA0857.1,Rarb,0.00104013,MA1112.3,NR4A1,0.00104013,MA0730.1,RARA,0.00104013
pos_patterns.pattern_12,830,MA1528.2,NFIX,8.03703e-05,MA1528.1,NFIX,9.20475e-05,MA0119.1,NFIC::TLX1,9.20475e-05
pos_patterns.pattern_13,815,MA0050.2,IRF1,1.69686e-08,MA0051.2,IRF2,0.000125581,MA0050.1,IRF1,0.000125581
pos_patterns.pattern_14,749,MA1131.2,FOSL2::JUN,5.32913e-05,MA1131.1,FOSL2::JUN,5.32913e-05,MA1145.2,FOSL2::JUND,0.000219311
pos_patterns.pattern_15,741,MA1945.1,ETV5::FIGLA,0.535223,MA2578.1,ZBTB8A,0.535223,MA0528.3,ZNF263,0.535223
pos_patterns.pattern_16,718,MA0502.1,NFYB,0.00141139,MA0060.4,NFYA,0.00141139,MA1644.2,NFYC,0.00176424
pos_patterns.pattern_17,573,MA1124.1,ZNF24,1.0,MA0790.1,POU4F1,1.0,MA0874.1,Arx,1.0
pos_patterns.pattern_18,491,MA0526.5,USF2,5.77225e-06,MA0620.4,MITF,5.77225e-06,MA0526.4,USF2,5.77225e-06
pos_patterns.pattern_19,483,MA0799.3,RFX4,1.63585e-06,MA0799.2,RFX4,3.61478e-06,MA1724.2,Rfx6,0.000769037
pos_patterns.pattern_20,419,MA0467.3,Crx,0.0260486,MA0648.2,GSC,0.0260486,MA0682.3,PITX1,0.0260486
pos_patterns.pattern_21,397,MA1624.2,Stat5a,0.00326641,MA0144.1,Stat3,0.00326641,MA0519.2,Stat5a::Stat5b,0.00326641
